Date,"1 Mo","2 Mo","3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
08/12/2022,2.23,2.50,2.63,3.13,3.26,3.25,3.18,2.97,2.92,2.84,3.34,3.12
08/11/2022,2.24,2.51,2.62,3.08,3.25,3.23,3.16,2.98,2.94,2.87,3.38,3.15
08/10/2022,2.24,2.43,2.65,3.13,3.26,3.23,3.13,2.93,2.86,2.78,3.27,3.04
08/09/2022,2.23,2.43,2.67,3.16,3.33,3.28,3.20,2.97,2.89,2.80,3.24,3.01
08/08/2022,2.23,2.43,2.65,3.15,3.30,3.21,3.14,2.91,2.85,2.77,3.22,3.00
08/05/2022,2.21,2.39,2.58,3.10,3.29,3.24,3.18,2.97,2.91,2.83,3.27,3.06
08/04/2022,2.19,2.36,2.50,2.98,3.11,3.03,2.95,2.76,2.73,2.68,3.15,2.97
08/03/2022,2.20,2.29,2.52,3.00,3.14,3.10,3.04,2.86,2.81,2.73,3.17,2.96
08/02/2022,2.22,2.33,2.56,3.00,3.09,3.06,3.02,2.85,2.82,2.75,3.22,3.00
08/01/2022,2.22,2.33,2.56,2.96,2.98,2.90,2.82,2.66,2.64,2.60,3.12,2.92
07/29/2022,2.22,2.28,2.41,2.91,2.98,2.89,2.83,2.70,2.70,2.67,3.20,3.00
07/28/2022,2.20,2.30,2.42,2.90,2.93,2.85,2.81,2.69,2.69,2.68,3.23,3.02
07/27/2022,2.14,2.30,2.44,2.93,3.00,2.96,2.93,2.82,2.83,2.78,3.26,3.03
07/26/2022,2.17,2.35,2.55,3.01,3.06,3.02,3.01,2.89,2.88,2.81,3.27,3.03
07/25/2022,2.14,2.31,2.62,3.06,3.07,3.00,2.98,2.89,2.89,2.81,3.28,3.04
07/22/2022,2.15,2.29,2.49,2.97,3.01,2.98,2.93,2.87,2.85,2.77,3.23,3.00
07/21/2022,2.15,2.30,2.48,3.00,3.11,3.10,3.07,3.00,2.99,2.91,3.33,3.08
07/20/2022,1.92,2.29,2.51,3.04,3.18,3.25,3.25,3.18,3.15,3.04,3.43,3.17
07/19/2022,1.93,2.29,2.52,3.06,3.18,3.23,3.22,3.14,3.11,3.01,3.42,3.17
07/18/2022,1.96,2.28,2.50,3.02,3.13,3.15,3.15,3.06,3.05,2.96,3.39,3.14
07/15/2022,1.98,2.26,2.37,2.94,3.12,3.13,3.14,3.05,3.03,2.93,3.34,3.10
07/14/2022,1.99,2.32,2.40,2.93,3.16,3.15,3.16,3.06,3.05,2.96,3.36,3.11
07/13/2022,1.78,2.20,2.39,2.96,3.21,3.13,3.14,3.02,3.00,2.91,3.35,3.08
07/12/2022,1.63,2.01,2.22,2.78,3.07,3.03,3.07,3.01,3.01,2.96,3.37,3.13
07/11/2022,1.58,1.95,2.18,2.79,2.97,3.07,3.09,3.05,3.06,2.99,3.43,3.18
